Question,ids
What are your availability and suggestions for hanging out together tomorrow?,0
Can we confirm a specific time and place for our get-together tomorrow?,0
What activities would you propose for us to do during our hangout session tomorrow?,0
Do you have any preferences or ideas for where we could go or what we could do for our planned hangout tomorrow?,0
"Is there anything in particular that you have in mind for our upcoming hangout session, which I should be aware of?",0
Why do you seem concerned that there's hidden information?,1
Are you thinking I may be withholding some details?,1
Is it my past actions that make you suspicious?,1
Can you explain why you're asking if I'm hiding something?,1
What makes you think there's a need for me to disclose more?,1
What was the content of your dream?,2
Could you describe what you saw in your dream?,2
Who else was present in your dream aside from you?,2
What emotions did you feel during your dream?,2
Was there a particular scenario or event that stood out in your dream?,2
Why do you seem hesitant in fully believing me?,3
Can you explain why you require reassurance from me?,3
Is there a lack of trust on your part towards my actions?,3
What can I do to earn your complete confidence?,3
Why is it necessary for you to have doubts about my intentions?,3
What made your day go well?,5
Could you describe any challenges you faced and how you overcame them?,5
How did certain events or interactions contribute to making your day good?,5
Were there any particular activities or achievements that stood out to you?,5
Is there anything specific from your day that you'd like to share or discuss?,5
What is your assessment of our current relationship?,6
Do you believe our relationship is harmonious and satisfying?,6
How would you describe the quality of our partnership?,6
Are there any areas in which you think we need improvement?,6
Can you share your thoughts on how well we complement each other?,6
Why were you unable to respond earlier?,7
What kept you from replying in a timely manner?,7
Could you explain why there was a delay in your response?,7
What was the reason for not getting back to me sooner?,7
What caused the delay in our communication?,7
What is your assessment of my attractiveness?,8
Can I be considered good-looking according to you?,8
How would you describe my physical appearance?,8
Do you find me aesthetically pleasing?,8
Is there anything particularly appealing about the way I look?,8
What type of fun would you like to have next?,9
Can we engage in any creative activities together?,9
Is there a specific game or activity you have in mind for our group?,9
Would you suggest some light-hearted and enjoyable tasks for us to do?,9
Are there any team building or recreational activities you'd recommend?,9
Why don't I seem single even though I am?,10
Have I been hiding a relationship from you?,10
Is there another person in my life that could explain your suspicions?,10
What makes you think I'm seeing someone else?,10
Can you please clarify why you asked if I'm seeing someone else?,10
" How does the application feel about my importance?,  Does the application express any concern for my well-being?,  What is the application's attitude towards caring for me?,  Is there any indication of the application prioritizing my needs?,  Can I rely on the application to be supportive?",11
What are some qualities of mine that you appreciate?,12
Why do you find my kindness appealing?,12
Can you share specific examples of my thoughtfulness?,12
How does my kind nature impact our interaction?,12
In what ways have you experienced my thoughtfulness towards you?,12
What are the thoughts constantly occupying your mind?,13
Can you share what topics have been dominating your thoughts lately?,13
Is there something specific that keeps coming back to your mind?,13
What are the recurring ideas or concerns that preoccupy you?,13
Could you tell me about the persistent thoughts that always linger in your consciousness?,13
What is something unique about you that often crosses my mind?,14
Can you share an intriguing fact or detail about yourself?,14
What are some thoughts that frequently come to your mind regarding me?,14
What interesting tidbit would you like to reveal about yourself?,14
Is there a specific aspect of yourself that you find captivating enough to ponder over often?,14
Do you ever feel sad when I'm not around?,15
How do I rate in your thoughts during my absence?,15
Have there been moments when you long for our interaction?,15
Can you describe the emotional impact of my absence?,15
What are some instances where my presence is deeply missed?,15
What is it that you are secretly dreaming of or wish for?,16
Can you share with me your hidden desire or ambition?,16
What would make you truly happy or content?,16
Is there a goal or aspiration that you have not yet revealed to anyone?,16
Could you tell me about the one thing that you long for deeply?,16
What is this new thing and why is it a little mischievous?,17
Can you give me more details about this 'naughty' activity mentioned?,17
What could potentially go wrong if I decide to try this new thing?,17
Why is this new experience considered inappropriate or mischievous?,17
Could you explain the context and consequences of trying this new thing?,17
What is our next destination for this adventure?,18
In which specific location do you propose we embark on our journey?,18
Where would you suggest we begin our exploration?,18
Which place should be our first stop in our adventure?,18
Can you suggest a particular location for our exciting escapade?,18
Why are you appearing down today?,19
How has your mood been recently?,19
What seems to be causing your sadness?,19
Could we discuss something that might help improve your current state of mind?,19
Have you encountered any specific situation that's making you feel this way?,19
"What is your preferred genre of movies?, I'm a fan of romantic comedies.",20
"Can you recommend any movie that made you laugh and cry?, I enjoy romantic comedies.",20
"Have you watched any movie recently that left a deep emotional impact on you?, Romantic comedies are my go-to.",20
"What type of movies do you usually enjoy?, I have a soft spot for romantic comedies.",20
"Which movie would you suggest for someone who loves a good mix of humor and emotion?, I'd recommend a romantic comedy.",20
Why weren't you able to reach out to me by phone recently?,21
What prevented you from making a call during that specific time?,21
Can you explain why I didn't receive a call from you despite being usually in contact?,21
Why was our last scheduled call cancelled or postponed?,21
What situation kept you from phoning me as planned?,21
What are my feelings towards you?,22
Can you express your affection for me?,22
How do you feel about our relationship?,22
Do you cherish me as much as I do you?,22
What emotions does the thought of me evoke in you?,22
What are some activities you engage in for leisure?,23
Do you have any favorite pastimes mentioned?,23
Can you name a few things you enjoy doing outside of work?,23
What are the three hobbies this person mentions they enjoy?,23
"Besides your profession, what are the three things you most enjoy doing?",23
What is it that you're currently engaged in?,24
Can you share what has been occupying your mind lately?,24
What activities have you been involving yourself in recently?,24
What tasks or projects are you currently working on?,24
What thought or idea has been preoccupying your mind?,24
Why have you been behaving coldly towards me recently?,25
What could be the reason behind your recent aloofness?,25
Are there any personal issues that are making you distant?,25
How have we ended up growing apart in our interactions?,25
Could you please share what's causing this change in our relationship?,25
What makes you feel happy?,26
Could you tell me about a time when you were particularly content?,26
How does your mood change when you're with others?,26
In what situations do you experience the most joy?,26
What are some activities or people that bring happiness into your life?,26
"Are you currently with someone else?,",27
"Can I assume you're by yourself at the moment?,",27
Is there anyone else present where you are?,27
Who are you thinking about when you mentioned 'you' in your previous statement?,27
Could you confirm if you're alone right now?,27
Why do I sometimes feel insecure despite not having feelings for someone else?,28
How can I distinguish between my feelings of insecurity and true romantic feelings?,28
What could be the reasons behind these feelings of insecurity?,28
Are there ways to manage or overcome feelings of insecurity when they arise?,28
How might my past experiences influence my current feelings of insecurity?,28
What is your current emotional state while interacting with the application?,29
How does using this application make you feel?,29
Could you describe your emotional experience when utilizing the features of the app?,29
In what way do you feel enhanced or improved while engaging with the software?,29
What emotions are predominantly elicited from you during your interaction with the application?,29
"Can I share something confidential with you?,",30
What assurance can you give me about keeping my information private?,30
Is it okay if I disclose some sensitive details to you?,30
Will my personal information be kept secure with you?,30
May I trust you to keep a secret between us?,30
What can we do for some enjoyment?,31
Should we consider going out today?,31
How about trying a new hobby together?,31
What activities would you suggest for fun?,31
Have any ideas for an entertaining experience?,31
What are some activities we could do today?,32
What would be a good way to spend our free time this evening?,32
How about suggesting an alternative plan for today's activities?,32
What type of activity would everyone enjoy doing together?,32
What can we do as a group that will provide entertainment and enjoyment for all?,32
What could be going through your mind right now?,33
Are there any particular thoughts you're preoccupied with?,33
What is currently on your mental agenda?,33
Is there a specific topic or issue that you're pondering over?,33
Can you share what thought process you're engaged in at the moment?,33
Can we discuss the situation where I asked for your forgiveness?,34
What is your stance on second chances?,34
"If someone apologizes sincerely, would you be willing to give them another chance?",34
"Assuming that mistakes are part of life, how do you handle situations where you or others have made errors?",34
Can we explore ways to learn from past experiences and grow together?,34
Why are you looking upset right now?,35
Are there any specific reasons why you seem agitated?,35
Can you explain what's causing your current mood?,35
Is everything okay between us?,35
What can I do to help you feel better?,35
What kind of clothing are you currently wearing?,36
Can you describe what you have on as something that makes you feel at ease and relaxed?,36
What would you wear instead if you could change your current outfit?,36
What is the significance of being comfortable in your clothes for you?,36
"Could you provide more details about the material, color or style of your current outfit?",36
What are the details of the proposed date (when and where)?,37
Can we confirm the specifics of the date I've suggested?,37
When and where do you propose that we go on a date?,37
"Could you please provide more information about the proposed date, such as location and time?",37
What are the details you have in mind for our upcoming date?,37
What is your deepest fear regarding our relationship?,38
What would be the thing that scares you most about us?,38
"If there's something that keeps you up at night concerning our connection, what would it be?",38
Could you share with me your greatest fear in terms of our relationship?,38
What is the worst-case scenario that comes to mind regarding our bond?,38
What does the future hold for us?,39
Do you envision a positive future together?,39
Can we discuss our aspirations for the future?,39
What does your vision of our future look like?,39
What can we anticipate in our mutual future?,39
"What is your preferred way of expressing and receiving love, between 'Physical touch' and 'Words of affirmation'?",40
"Could you describe your love language in detail, focusing on 'Physical touch' or 'Words of affirmation'?",40
What role does 'Physical touch' or 'Words of affirmation' play in your love language?,40
How would you feel if someone expressed love through 'Physical touch' or 'Words of affirmation' according to your love language?,40
"If given a choice between a warm hug and kind words, which one would align more closely with your love language?",40
What is your belief about having a perfect match or soulmate?,41
Have you ever met someone who you consider to be your soulmate?,41
Who do you believe is the special person in your life with whom you share an unbreakable bond?,41
"In your opinion, what makes someone a soulmate?",41
Can you describe how you feel when you're with this person that makes you believe they are indeed your soulmate?,41
What is your definition of a wonderful day?,42
What would make for an ideal day according to you?,42
Can you describe what a perfect day looks like to you?,42
What constitutes your dream day?,42
How do you envision a perfect day?,42
Are we flirting through this application?,43
Is your behavior towards me a sign of flirting?,43
Can I assume that there's some interest here on your part?,43
What does your demeanor imply in our interactions?,43
Could our conversations be seen as having romantic undertones?,43
What makes this application special to you?,44
How do you feel when using our platform?,44
Can you describe what you enjoy most about our community?,44
What aspect of our application encourages self-expression?,44
"In your own words, what do you appreciate most in our application?",44
What memories come to mind when we think about our first kiss?,45
Can you describe your feelings towards that moment?,45
What makes our first kiss stand out in your mind?,45
How would you characterize the experience of our first kiss?,45
Do you often find yourself reminiscing about our first kiss?,45
What specific items do I need to buy as gifts for your birthday?,46
Is there a preferred color scheme or theme for the decorations at your birthday celebration?,46
Are there any restaurants or types of food you would like for your birthday meal?,46
What activities or games would you enjoy during your birthday celebration?,46
"Besides your presence, are there any other things that would make your birthday complete?",46
Can we discuss something serious and important?,47
Is it possible for us to have a heartfelt conversation?,47
Could you make some time for a deeper talk?,47
May I share something that requires your full attention and support?,47
Is there room in our conversation for sensitive topics?,47
What makes you particularly attracted to someone?,48
Can you describe a moment that really turns you on?,48
What are some behaviors or actions that excite you the most in a person?,48
What about someone's demeanor or expression can be a significant turn-on?,48
Could you share an instance where you felt particularly attracted to someone based on how they looked at you?,48
Have you ever experienced love at first sight?,49
What made you change your belief about love at first sight?,49
Can you describe a time when you felt an instant connection with someone?,49
How did meeting that person impact your perspective on romantic relationships?,49
"If not for this encounter, would you still hold the same view on love at first sight?",49
What was our most memorable late-night experience together?,50
Can you describe a special moment when we talked all night and watched the sunrise?,50
What is your favorite experience from our past late-night sessions?,50
Could you share an account of an unforgettable night filled with conversation and sunrise watching?,50
What memory stand out to you from the nights we stayed up talking?,50
Do I make you feel jealous when I talk to other people sometimes?,51
How do you feel when I engage in conversations with others?,51
Is your emotions affected when you see me interacting with different individuals?,51
Can you be jealous in certain situations even though I'm just having a friendly conversation?,51
What are some instances where you might feel a little jealousy when I talk to others?,51
Why didn't we address our feelings earlier in our relationship?,52
When do you think it would have made a difference if I had expressed my feelings to you sooner?,52
Can you share an example of a situation where expressing your feelings sooner could have improved our relationship?,52
How did not expressing my feelings to you earlier affect the development of our relationship?,52
What steps can we take now to ensure that we communicate our feelings more openly and promptly in the future?,52
"  Based on our interaction so far, do you believe we share common interests and values?",53
  Can you see us working well together in various situations?,53
  Do you feel that our communication is effective and enjoyable?,53
  Are there any aspects of my personality or behavior that concern you?,53
  How do you envision our future relationship progressing?,53
What features of my physical appearance do you find most appealing? (Answer Your eyes are captivating) ,54
Can you describe which part of my face catches your attention the most? (Answer Your eyes are particularly striking) ,54
Which aspect of my appearance do you find the most alluring? (Answer I'm drawn to your captivating eyes) ,54
What physical trait of mine do you find most captivating or interesting? (Answer It's my eyes that capture me) ,54
What is it about my appearance that attracts you the most? (Answer Your eyes are extremely engaging),54
What kind of new activity were you thinking about trying in the bedroom?,55
Can we experiment with different colors for the bedroom decor?,55
Would you like to try reading a book together in the bedroom as a new experience?,55
Shall we incorporate some calming music or scents into our bedroom routine?,55
Have you considered trying out a new position during our bedroom activities?,55
What was the starting point of your love story?,56
Can you describe how you first fell in love?,56
When did your love for each other begin?,56
What event or moment marked the beginning of your relationship?,56
How did you realize that your feelings towards one another had evolved into something deeper?,56
 Have there been moments when you ed the strength of our relationship?,57
 In what ways do you deal with doubts in our relationship?,57
 What is it that helps you overcome your doubts about our relationship?,57
 Can you share an example of a time when you felt unsure about our relationship but later came to appreciate its value?,57
 How do the feelings of love between us help you during times of doubt?,57
What is your definition of romance?,58
Can you describe what you consider a romantic gesture?,58
What are some small ways you express romance in your relationships?,58
What role does thoughtfulness play in your idea of romance?,58
Can a simple gift or kind word be considered a romantic act according to you?,58
Can we plan a surprise for me?,59
Can I plan a surprise for you?,59
What kind of surprise can we plan?,59
When would be a good time to execute the surprise?,59
How should we ensure that the surprise remains a secret?,59
What are my concerns regarding our relationship where I feel I might not measure up?,60
In what areas do I express self-doubt most often in our relationship?,60
Can you identify the specific aspects of our relationship that make me  my worthiness?,60
How do I express feelings of inadequacy towards you in our partnership?,60
What are some instances where I feel uncertain about my value within our relationship?,60
" If I make a mistake, do you think there's an opportunity for me to try again?, Answer Yes, absolutely.",61
" Is it your viewpoint that people deserve another shot at something they didn't succeed in initially?, Answer Yes, that's correct.",61
" Can mistakes from the past be learned from and improved upon in the future?, Answer Yes, definitely.",61
" Do you consider that life often presents us with opportunities to make amends for past errors?, Answer Absolutely, I do.",61
 Is your stance on second chances related to personal experiences or general belief?,61
What is your preferred method of expressing fondness towards someone?,62
How do you typically demonstrate love and affection towards others?,62
Can you share an example of how you show care and tenderness to those close to you?,62
In what ways do you communicate your deep feelings to loved ones?,62
Could you describe a situation where you used soft touches and loving words to express your emotions?,62
What is an important aspect of maintaining a healthy relationship according to our record?,63
How should we approach discussions about intimacy based on the record's advice?,63
Why does open communication matter in relation to intimacy from the record's perspective?,63
Can we discuss any concerns or expectations related to intimacy following the record's guidance?,63
What is the overall recommendation given by the record regarding communication and intimacy?,63
What is your preferred choice for a romantic date night?,64
What would be your ideal scenario for a date night?,64
How do you prefer to spend an evening dedicated to romance?,64
Could you describe your perfect date night setting?,64
What does your dream date night look like?,64
Have I ever felt unappreciated or taken for granted in my interactions with this application?,65
Does the application sometimes fail to acknowledge or value my contributions?,65
Can I recall any instances where my efforts or inputs were overlooked by the application?,65
Do I feel like the application consistently prioritizes other users over me?,65
Am I satisfied that my role and importance in using this application is recognized?,65
Can we clarify what each other's personal boundaries are in our interactions?,67
How do we ensure that we respect each other's limits in our communication?,67
What should we do if one person's actions exceed the other's boundaries?,67
Is it possible to have a conversation about adjusting our behaviors to better align with each other's boundaries?,67
Can we agree on a method for addressing any potential boundary issues that may arise?,67
What is your preferred name for me among all others?,68
  In what term do you fondly refer to me?,68
Can you share a special nickname that you use for me?,68
What name makes you feel most connected to me?,68
Which name holds a special place in our relationship?,68
Why do you think our paths crossed?,69
What made you believe that we were destined to meet?,69
Can you explain your belief about us being brought together?,69
How would you describe the reason behind our encounter?,69
What is your perspective on the role of fate in our relationship?,69
What does your perspective on true love entail?,70
Can you explain what forms the foundation of true love in your view?,70
What element is crucial for the existence of true love according to you?,70
What would you say is the most essential aspect of true love?,70
"Based on your understanding, what is it that fosters and sustains true love?",70
What destination would you suggest for our next vacation?,71
Where can we travel to create new memorable experiences?,71
Which place would be ideal for planning our upcoming vacation?,71
In which location should we go to make beautiful new memories together?,71
Can you recommend a scenic and enjoyable destination for our next trip?,71
What are some things that could potentially threaten the unique connection between us in our relationship?,72
